16:59:36: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 47] Logger initialized
16:59:46: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, 20.00, 0.00) m/s
16:59:47: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (20.00, 0.00, 0.00) m/s
16:59:47: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (20.00, 0.00, 0.00) m/s
16:59:48: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (20.00, 0.00, 0.00) m/s
16:59:48: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, -20.00, 0.00) m/s
16:59:49: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, -20.00, 0.00) m/s
16:59:49: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (0.00, -20.00, 0.00) m/s  
16:59:50: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (-20.00, 0.00, 0.00) m/s
16:59:50: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (-20.00, 0.00, 0.00) m/s
16:59:51: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 74] Current velocity vector: (-20.00, 0.00, 0.00) m/s
17:00:06: [INFO] [D:\Repositories\Uni Repo\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 76] Command worker finished successfully.
